@relation finished-data
@attribute tweets string
@attribute feeling{Negative,Positive}

@data
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'bi aileye bi tane geri zekali yeter manzara fotosunu ben cekmeliyim sevgilim ise ben fotograf cekerken beni seyretmeli napiyo…',Negative
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'Yaþamak sevgilim seninle güzel &lt;3',Positive
'Sevgilim gelince içime Kalpler doluþtu ?????? Sütlük kurabiyeyi pek sever eh o zaman bu tarifin…',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel.',Negative
'Benim sevgilim galatasaray aþýðý olmalý.Günaydýýn :)',Positive
'Hava ne kadar kötü sevgilimle buluþamýcam bugün. Sevgilim de yok ama neyse',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Günaydýnnnnn iyi pazarlar ;)) sevgilim kel ayoll ne lülesi benden önce saçý varmýþ görmek nasip olmadý',Positive
'108. Yaþýn kutlu olsun Sevgilim ...',Negative
'Sevgilim gelince içime Kalpler doluþtu ?????? Sütlük kurabiyeyi pek sever eh o zaman bu tarifin zamanýdýr. Sizde...',Negative
'Sevgilim olduðu hâlde ismail ve hazalýn yanýnda hep üçüncü kiþi sýfatýnda oluyorum',Negative
'Sevgilim yok deyince en iyisi ya boþver diyen sevgilisi olan arkadaþlar, madem en iyisi bu siz de ayrýlýn o zaman lan..',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel.',Negative
'sevgilim gotten alismaya calisiyor',Positive
'Sevgilim yok deyince en iyisi ya boþver diyen sevgilisi olan arkadaþlar, madem en iyisi bu siz de ayrýlýn o zaman lan..',Negative
'Önceden sabah erken kalkamýyor diye gece günaydýn mesajý atan bir sevgilim vardý þuan napýyor acaba ahshjahs',Positive
'Günaydýn sevgilim tatlý uykundan uyandýnmý ? Þaka þaka sevgilim yok ??',Positive
'Sana sarýlýnda ben tüm dünyayý kucaklýyorum sevgilim &lt;3 &lt;3 Fazlamý sevilesi bu çocuk :DDD',Positive
'Elinden tutup bu benim sevgilim dememiþ bir eski sevgili düþünün.. Ynin içinde kalan çok þey var bence.. onun verdiði hazý…',Positive
'Ýlk Türk sevgilim sýfatýný o karýya kaptýrdýðýmýza üzülüyorum be',Positive
'Bu kýz benim sevgilim erkeklerden mesaj ataný sikerim diyen bi sevgilimiz olmadý ki ...',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sanki bilmiyorsun sevgilim ben dua’m da en çok sana yer verdiðimi...',Positive
'Elinden tutup bu benim sevgilim dememiþ bir eski sevgili düþünün.. Ynin içinde kalan çok þey var bence.. onun verdiði hazý…',Positive
'Sirf sevgilim icin yaziyorum kiþisel algilama -_- ActorJangComeBack',Positive
'öyle mi oldu þimdi sevgiliye mal denmez salak sevgilim',Positive
'Benim ne uykucu bir sevgilim var amk hem kaldýr diyo kaldýrýncada 5 dakka daha diyo verem etti bu kýz beni',Positive
'istemiyor sevgilim seninle konuþmamý',Positive
'hic olmayan sevgilim gibi twitter onsuz yasiyamiyom ya onsuz hep bi yanim eksik gibi .',Positive
'Bugün seninle ilk tanýsma günümüz sevgilim 3mayýs2011#',Positive
'Ayrýldýktan 2 gün sonra yeni birine Sevgilim diyecek kadar basit olmayýn. BaþKomutan SinanErdemde',Negative
'Sevgilim yüzünden erken kalktým :))',Negative
'Sevgilim attýðýn adýmlar yanlýþ...',Negative
'En son sevgilim olduðunda nisan ayýndaydýk ya yalnýzlýk zor.',Positive
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'BaþKomutan SinanErdemde Hem sevgilim yok, hem þarjým bitiyo. Saçmalýða bak',Positive
'BaþKomutan SinanErdemde Eski sevgilim de olsa anýsý var, kýskanýrým.',Positive
'Ýncirlere tamam da sevgilim salatalýk vakti geldi geri gel.',Positive
'Voleybol formam.Sevgilim olunca giydirip evde gezindircektim.Dolabýmda tiþört ararken bu bulmuþ giymiþ.Çok üzülüyorum http:…',Negative
'd NowPlaying Sevgilim - Mustafa Ceceli Version by Mustafa Ceceli on Anghami d',Negative
'SEVGÝLÝM ARADI YARIN ÝÇÝN KONSER BÝLETÝ ALMIÞ.KÝMÝN KONSERÝ DÝYORUM YÜZYÜZEYKEN KONUÞURUZ DÝYO :D TELEFONDA SÖYLESE ANLAMICA…',Negative
'Bir rüyanýn gerçeðe dönüþtüðü en tatlý halisin sevgilim.?? Günaydýn ~?~',Negative
'Sevgilim! Ferhat olmana gerek yok; Bin dolmuþa gel..',Negative
'BaþKomutan SinanErdemde - AÞKIIMMM + Efendim - NAPÝYOSUN HAYATIM + Bi dk benim sevgilim yk ki 404 not found',Positive
'Hayatýma girdin gireli ne zaman bir çicek görsem kokunu hissediyorum.Yanýnda olamasamda iyi ki doðdun sevgilim.',Negative
'Anne gülüyorum ama sevgilim yok valla twitterdayým gel bak istersen',Positive
'Nasýl da çalmýþlar bu en pahalý ögeleri hayretler içindeyim :O',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Uzun zamandýr sevgilim yok olursa eðer kýz bana hadi bir yerlere gidelim dediðinde salih dayýya batak oynamaya...',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. Nazým Hikmet',Negative
'BaþKomutan SinanErdemde Sevgilim olmasýn, ama hep benim yanýmda olsun hissi.',Negative
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'Günaydýn sevgilim mesajý almayalý bir yýl oluyor amk aðlýyýp geliyorum ben',Positive
'bak sevgilim burasý gülsuyu',Positive
'SAÐANAK YAÐIÞIN ÝLK ÇAMURLU DAMLASI GÝBÝSÝN SEVGÝLÝM..',Negative
'RiotReportlarlaBAK Al kanka benden yaz sevgilim yok sarjim bitmiyo zaten.',Negative
'Ne kadar sapik oldugumu kestiremeyen sevgilim',Positive
'RiotReportlarlaBAK Ayrildiktan 2 gun sonra yeni birine \Sevgilim\ diyecek kadar basit olmayin.',Negative
'Benim sevgilim iyidir. Kötü olsa benim sevgilim olmazdý',Positive
'Sevgilim hesabýný kitleyip, katiyyen fotoðraf paylaþmaz, kimseyi takip etmez ve edenleri engellerse tabiki instagram kullanab…',Negative
'Bu akþam yüzümüzü güldür sevgilim',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. Nazým Hikmet',Negative
'Yaþamak ümitli bir iþtir sevgilim.. Yaþamak: Seni sevmek gibi ciddi bir iþtir. Nazým Hikmet',Negative
'158 gün nedir sevgilim daha ne kadar bekleteceksin beni.',Positive
'günaydýn sevgilim kahvaltý hazýr mý? ????',Positive
'Anladým,biliyorum çünkü seven kýskanýr sevgilim.?????',Negative
'Bir rüyanýn gerçeðe dönüþtüðü en tatlý halisin sevgilim.?? Günaydýn ~?~',Negative
'Sevgilim Gazze mutlaka döneceðim',Negative
'günaydýn sevgilim kahvaltý hazýr mý? ????',Positive
'selam gunaydýn sevgilim',Positive
'Eðer tipim fotoðraflardaki gibi ve sesim de videolardaki gibiyse sevgilim olmamasý çok normal....',Positive
'Aldatansa sevgilim bu oyunu kaybeder??',Positive
'Bana seni seviyorum deme, hissettir.',Negative
'Yanýnda ben olmayýnca, nasýl da herkessin.',Negative
'Pazar günleri erkenden kalkacak ne günah iþledik bilemiyorum.',Negative
'Katran gibi demlenmiþ bir çay gibi karþýlýklý içmek seni...-Saian / Al Sevgilim Anne Ol Bununla-',Negative
'Kaderimle oynayacak kadar sevgilim olmussun meger ?',Positive
'Bu Aytacda tema oldu?? menim 11ci sinifde sevgilim olsaydi mamam ôldürerdi meni heçkiminde xeberi olmazdi ??',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel.',Negative
'Teog bitti :aasgshjsksha Özgürüm yeapp ??',Negative
'Günaydýn sevgilim tatlý uykundan uyandýn mý.',Positive
'Acýyý görüyor musun sevgilim? Peki ya nasýl kývrandýðýmý?',Negative
'https://twitter.com/muratenm1/status/594732823908593664 Eski sevgilim de olsa anýsý var, kýskanýrým.',Positive
'Minik sevgilim benim ????',Positive
'gözümde hayalin gonlümdeki sevgin bu dünyada benim için teksin CANIM SEVGÝLÝM',Negative
'Gulumseyin... dogum sevgilim fotografia gulmek',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Sevgilim. iyi ki varsýn gerçekten. Sen olmasaydýn; isim þehir oynarken hayvan kýsmýna kimi yazardým ben?',Negative
'Isminin sözlüðümdeki anlamý huzur sevgilim.',Negative
'Kuzenimi sevgilim zanneden mal seninde yüzünü gördük ??',Positive
'Sevgilim olunca ben;',Negative
'sevgilim senden daha tatlý amaaa :3',Positive
'Günaydýn,sevgilim için uyandým iþim yok mutluyum bb',Negative
'bi þarký var söylüyüm ( kim olursan ola sen adýn eski sevgilim kalaçak kalbine sor hadi yarýn geç olaçak sebepler bul hadi',Positive
'Sevgilim sana uzun bir yolculuk borçluyum.. DünyaTÜRKGünü',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'sende sevgilim ??',Positive
'Sevgilim sanki sabaha kadar roman gibi trip mesajý atmýþ üstüne beni engellemiþ öyle bir sabah',Positive
'Elinden tutup bu benim sevgilim dememiþ bir eski sevgili düþünün.. Ynin içinde kalan çok þey var bence.. onun verdiði hazý…',Positive
'DünyaTÜRKGünü Sevgilim olmasýn, ama hep benim yanýmda olsun hissi.',Negative
'Uyurken bile özlüyorum, sevgilim uyandý çok mutluyum demek isterdim ama hala uyuyor',Positive
'Türk sporunun asýrlýk çýnarý 108 yaþýnda! Doðum günün kutlu olsun sevgilim ???????? Fenerbahce 3Mayýs',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Ýncirlere tamam da sevgilim salatalýk vakti geldi geri gel.',Positive
'yoruldum aðlamaktan ????? gülümsemeye çalýþýyorum ama bilen yok INEEDU sevgilim',Positive
'Benim sevgilim varmis hahaha',Positive
'Caným orospu kerhanede çalýþan karýya denir, senden ayrýlan kýza deðil az adam ol da bi zamanlar Sevgilim dediðin kýza…',Negative
'Mayweather gibi sevgilim olsa þimdiye varya of diyom',Positive
' baþýný göðsüme yasla sevgilim , güzel saçlarýnda dolaþsýn elim ...',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Sevgilim yok sanýyosunuz..ama cidden yok, aslýnda iyi baþladým lafa ama neymiþ,olmayýnca olmuyomuþ zorlamaya gerek yok!',Negative
'np Pinhani-Günaydýn Sevgilim',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
' sevgilim',Positive
'Anne gülüyorum ama sevgilim yok valla twitterdayým gel bak istersen',Positive
'Eski sevgilim de olsa anýsý var, kýskanýrým. 3MayýsKutluOlsun',Positive
'Annemin bildiði ama benim bilmediðim bir sevgilim var.',Positive
'3MayýsKutluOlsun Eski sevgilim de olsa anýsý var, kýskanýrým.',Positive
'göbeðimi seven bir sevgilim var, daha ne yapayým yahu ??',Positive
'Kal demiþtim sevgilim. Sadece, gitme kal. Hoþça kal deðil…',Negative
'Ooo sevgilim yardýrýyor,iþte benim kýzým BestFandomCA2015 Directioners',Positive
'Ooo sevgilim yardýrýyor,iþte benim kýzým BestFandomCA2015 Directioners',Positive
'Ooo sevgilim yardýrýyor,iþte benim kýzým BestFandomCA2015 Directioners',Positive
'Alýþtýðýný kaybetmek nedir bilir misin, Benim seni kaybettiðim gibi sevgilim... - Sor',Negative
'Eski sevgilim dönerse, yanýna pilav koyup bi güzel yerim.',Positive
'Yüzünden aysýn gün, yana yana vursun üstüme sevgilim. ??',Negative
'*Hava harika ? *Güneþ on numara ? *Günlerden cumartesi ? *Sevgilim çalýþýyor ? *Harika cumartesi yapmýþlar ?',Negative
'Menim sevgilim apar özünden meni ????',Positive
'Annemin bildiði benim bilmediðim bi sevgilim var.',Positive
'sevgilim arkadaþlarýyla gece takýlabilir ben bunda bi sakýnca görmüyorum sonuçta ölüm Allahýn emri',Positive
'PazarPlanlarým Hem sevgilim yok, hem þarjým bitiyor. Düpe düz saçmalýk.',Positive
'Sevgilim sana uzun bir yolculuk borçluyum.. PazarPlanlarým',Negative
'Günaydýn aþkým canlm Sevgilim guze karýcým',Negative
'Bi küselim aþkým eski sevgilimi özledim bi küselim sevgilim aþkýmý özledim bunun adý ayrýlýk ....??',Positive
'PazarPlanlarým Ayrýldýktan 2 gün sonra yeni birine Sevgilim diyecek kadar basit olmayýn.',Negative
'Günaydýn sevgilim',Positive
'Hayatýmýn en güzel 3 günüydü, en güzel tatilimdi, iyi ki senin gibi beni bu kadar çok mutlu edebilen bir sevgilim var',Positive
'Yaþamak ümitli bir iþtir, sevgilim. Yaþamak: Seni sevmek gibi ciddi bir iþtir. Nazým Hikmet Ran',Negative
'SEVEN 1 KERE SEVER ODA CANDAN SEVER GÖNÜL EÐLENDÝRMEK ÝÇÝNSE EÐER SEVMESÝN YETER BENÝM 1 SEVGÝLÝM VAR ÖLENE KADAR SEVER',Negative
'Kýzlar bu fiyatlarý görünce estetik ameliyatý yaptýrmayý unutacaksýnýz',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'iyi ki dogdun sevgilim',Positive
'Bel? bir telefon söhb?ti: -Abi, hardasan? G?l bir çay iç?k. -Evd?y?m. Sevgilim g?l?c?k, çýxa bilmir?m, -N?? S?nin...',Negative
'Çið köfte mi sevgilin mi diye sorsalar, çið köfte derim. Çünkü benim sevgilim yok. EnSevdiðimÞey',Positive
'Açýk ç?y içerdi hep,demli olunc? b?rd?ðýn diðer t?r?fýnd?n beni göremezmiþ, çünkü orda olsam þekeri atarmýþým sevgilim',Positive
'vay be ebrucu oldun çýktýn sevgilim! çok güzel þarký',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Müzik benim sevgilim. EnSevdiðimÞey',Negative
'sevgilim,°Bir ülke senin gövden kadar masum olsaydý Bir tek anne oðlunu devletten sormazdý… þükrü erbaþ',Negative
'sevgilim olsun deðil ortak facebook, ortak kýr pidesi salonu bile açarým....',Positive
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'Çünkü seni kýskanmak için illa sevgilim olmana gerek yok. EnSevdiðimÞey',Positive
'Karayollarýnda deðil, kaslý kollarýnda ölmek isterim sevgilim',Positive
'O kadar romantiðim ki, uyku moduna geçen bilgisayarýmý öperek uyandýrýyorum. Sevgilim olsa ne yaparým siz düþünün artýk',Negative
'EnSevdiðimÞey sevgilim var demektense beni seven biri var demek çok daha iyi.',Positive
'+ nikahýna beni de çaðýr sevgilim.. - neden? + pastada mý yemiyahh:)',Negative
'Olabilmek. Olabilemedin, koyu parýltýlý gözlü sevgilim benim. Ben vardým; sen, kendini yok etmeyi seçtin. -Oruç Aruoba',Positive
'Benim bi sevgilim var. Allah herkese oyle bi sevgili nasip etsin yarabbim.',Positive
'Bir videosu beðendim: Myrat Owezow ft. Myahri - Gül Ki Sevgilim',Negative
'Directioners BestFandomCA2015 nikahina benide cagr sevgilim cagrda o kizi yolup bn geciym masaya',Positive
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'Sevgilim bugün olmaz dediðinde ben',Negative
'zorun ne sevgilim BestFandomCA2015 Directioners',Positive
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'Gücün var mý sevgilim, yarýn sabahýn köründe uyanmaya',Positive
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'Sana aþkolsun sevgilim, bana aþkýn en orospu halini yaþattýn. ölürüm sana dediði gün,geber demeliydim :D',Negative
'Çýk gel sevgilim, Ellerinde papatyalar Bir pazar, Bir bahar müjdesi gibi çýk gel.',Negative
'Bir gün Gidersen sevgilim, ki ben severek ayrýlýða inanmam gidebiliyorsan eðer hiç düþünme, git. Ýnan senin yerinde o…',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'Çin ve lay gibi olalým sevgilim asla ayrýlmayalým BestFandomCA2015 ELF',Positive
'Sevgilim Gazze mutlaka döneceðim: Edward Said, “Göç bir insan ile doðup büyüdüðü yer arasýnda, benlik ve benli...',Negative
'Ýþte benim sevgilim ya boks maçý için kalkmýþ.',Positive
'Sevgilim baðýþla biraz zor olsa da ...',Negative
'Sevgilime ara verelim yýprandýk demeye hazýrlanýyodum ki, sevgilim olmadýðýný farkettim.',Positive
'Sensiz geçen bir gece daha sevgilim. Sabahi 6 ettim aklimda sen kalbimde sen. Hayat zor be sensiz. Bitsin artik bu mesefaler. ;(',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
'yüzünden aysýn gün, yana yana vursun üstüme sevgilim.',Negative
'Çok þey istemiyorum güven kokan bir sevgilim olsun yeter.',Positive
'Sevgilim sarhoþ oldu help',Negative
'Þehrime gel sevgilim.. Yarýn çýk gel. Býrak her þeyi, bir bekleyenim var de gel. |Nazým Hikmet|',Negative
